央视频道,#genre#
CCTV-1,https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8
CCTV-2,https://node1.olelive.com:6443/live/CCTV2HD/hls.m3u8#http://221.2.146.228:8888/newlive/live/hls/3/live.m3u8
CCTV-3,http://221.2.146.228:8888/newlive/live/hls/4/live.m3u8
CCTV-4,https://turkmedya-live.ercdn.net/tv4/tv4_720p.m3u8
CCTV-5,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV-6,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226393/1.m3u8
CCTV-7,http://221.2.146.228:8888/newlive/live/hls/8/live.m3u8
CCTV-8,https://node1.olelive.com:6443/live/CCTV8HD/hls.m3u8
CCTV-9,http://221.2.146.228:8888/newlive/live/hls/10/live.m3u8
CCTV-10,https://node1.olelive.com:6443/live/CCTV10HD/hls.m3u8
CCTV-11,http://221.2.146.228:8888/newlive/live/hls/12/live.m3u8
CCTV-12,http://183.134.3.22:8888/newlive/live/hls/13/live.m3u8
CCTV-13,http://101.27.38.148:8888/hls/13/index.m3u8

直播,https://v26-web.douyinvod.com/354ffd22809db82e347d107a45b54ddd/658e6b75/video/tos/cn/tos-cn-ve-15/osM9nDgpQtlgX3AtIBXn5C8bzi4eHAb4e6A744/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=547&bt=547&cs=0&ds=6&ft=LjhJEL998xl8uEe~10P5H4eaciDXt4jeO_QEeVxI4NjD1Inz&mime_type=video_mp4&qs=12&rc=NjQ2ZzVnNzdoOjdoaDtnO0BpM3ZsaGk6ZmhycDMzNGkzM0BeMjFeYmFiX2AxLjI0MDFhYSNya2JfcjQwcDJgLS1kLS9zcw%3D%3D&btag=e00028000&dy_q=1703828631&feature_id=46a7bb47b4fd1280f3d3825bf2b29388&l=202312291343516CFC9DB4D263C87B97AA
ss,https://v26-web.douyinvod.com/7d885fdbd1af2a575c45b0b4e93a8d3f/658e6b1d/video/tos/cn/tos-cn-ve-15/osZezhgAIvyBI5AxEByMJCfzEuB5TAtSAlAOdN/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=131&bt=131&cs=0&ds=6&ft=LjhJEL998xl8uEe~10P5H4eaciDXtDxeO_QEeVxI4NjD1Inz&mime_type=video_mp4&qs=12&rc=NWU0OTU4OGU1N2g0ZGdmOEBpajwzazM6Zjk3bzMzNGkzM0BiNWEuYi0wNi8xLWIzYGFfYSMtZC1rcjRvcW1gLS1kLS9zcw%3D%3D&btag=e00008000&dy_q=1703828743&feature_id=46a7bb47b4fd1280f3d3825bf2b29388&l=202312291345435F4497679CB18271A293
